datum_angelegt_am;angebot_nr;kunde;pb;anzahl_teile;anzahl_jahresbedarfe;bearbeitet_von;zeit_datum_angefragt_am;zeit_datum_angebot_bis;tracking_abgabe_termin;zukaufteile_ext_bearbeitung_erforderlich;prio;zeit_datum_berechnung_vorhanden;zeit_datum_hsb_vorhanden;zeit_datum_zukaufteile_angefragt;zeit_datum_ext_bearbeitung_angefragt;zeit_datum_zukaufteile_angebot_vorhanden;zeit_datum_ext_bearbeitung_angebot_vorhanden;zeit_datum_kalk_erstellt;zeit_datum_angebot_abgegeben;status_bearbeitung;freigegeben_von
2017-05-22;05/0164/17;LUK GMBH & CO.KG | D | BUEHL;BRA-AS;1;1;Hemmann, Patrick;2017-05-22;2017-05-29;37;1;2;\N;2017-06-23;2017-05-22;\N;2017-06-03;\N;\N;\N;offen;
2017-05-22;05/0166/17;LUK GMBH & CO.KG | D | BUEHL;BRA-AS;1;1;Hemmann, Patrick;2017-05-22;2017-05-28;38;1;2;\N;2017-06-23;2017-05-22;\N;2017-06-03;\N;\N;\N;offen;
2017-05-23;05/0169/17;LUK GMBH & CO.KG | D | BUEHL;BRA-AS;1;1;Hemmann, Patrick;2017-05-23;2017-06-01;34;1;2;\N;\N;2017-05-23;\N;2017-06-12;\N;\N;\N;offen;
2017-05-23;05/0172/17;LUK GMBH & CO.KG | D | BUEHL;BRA-AS;1;1;Hemmann, Patrick;2017-05-23;2017-05-30;36;0;2;\N;\N;\N;\N;\N;\N;\N;\N;offen;
2017-05-29;05/0176/17;LUK GMBH & CO.KG | D | BUEHL;BRA-AS;1;1;Hemmann, Patrick;2017-03-24;2017-05-30;36;0;2;\N;\N;\N;\N;\N;\N;\N;\N;offen;
2017-05-31;05/0186/17;LUK SAVARIA KFT. | HU | SZOMBATHELY;BRA-AS;1;1;Hemmann, Patrick;2017-05-31;2017-06-07;28;0;2;\N;\N;\N;\N;\N;\N;\N;\N;offen;
2017-06-19;06/0201/17;LUK GMBH & CO.KG | D | BUEHL;BRA-AS;1;1;Hemmann, Patrick;2017-06-19;2017-06-26;9;0;2;\N;\N;\N;\N;\N;\N;\N;\N;offen;
2017-06-20;06/0202/17;SCHAEFFLER (BKC-AS) CO LTD. | CN | TAICANG;BKC-AS;1;1;Hemmann, Patrick;2017-06-20;2017-06-23;12;1;2;2017-07-03;2017-07-03;2017-06-20;\N;2017-06-28;\N;2017-07-03;\N;offen;
2017-06-20;06/0203/17;LUK GMBH & CO.KG | D | BUEHL;BRA-AS;1;1;Hemmann, Patrick;2017-06-20;2017-06-27;8;0;2;\N;\N;\N;\N;\N;\N;\N;\N;offen;
2017-06-20;06/0204/17;LUK GMBH & CO.KG | D | BUEHL;BRA-AS;1;1;Hemmann, Patrick;2017-06-20;2017-06-28;7;0;2;\N;\N;\N;\N;\N;\N;\N;\N;offen;
2017-06-21;06/0205/17;LUK GMBH & CO.KG | D | BUEHL;BRA-AS;6;6;Hemmann, Patrick;2017-06-19;2017-06-23;12;0;2;\N;2017-06-23;\N;\N;\N;\N;\N;\N;offen;
2017-06-21;06/0206/17;LUK INDIA PRIVATE LIMITED | IN | HOSUR;BRA-AS;2;2;Hemmann, Patrick;2017-06-20;2017-06-23;12;0;2;\N;\N;\N;\N;\N;\N;\N;\N;offen;
2017-06-21;06/0207/17;LUK INDIA PRIVATE LIMITED | IN | HOSUR;BRA-AS;2;2;Hemmann, Patrick;2017-06-21;2017-06-26;9;0;2;\N;\N;\N;\N;\N;\N;\N;\N;offen;
2017-06-22;06/0210/17;LUK GMBH & CO.KG | D | BUEHL;BRA-AS;1;1;Hemmann, Patrick;2017-06-22;2017-06-29;6;1;2;\N;\N;2017-06-22;\N;\N;\N;\N;\N;offen;
2017-07-03;05/3099/16;DAYCO EUROPE S.R.L. | I | SAN BERNADO D IVREA (TO);BRA-AS;1;1;Schulze-Dasbeck, Andrea;2017-07-03;2017-07-05;0;0;2;2017-07-03;\N;\N;\N;\N;\N;\N;\N;offen;
2017-04-27;04/0134/17;ZF FRIEDRICHSHAFEN AG | D | SCHWEINFURT ;BRA-AS;11;11;Schnaubelt, Niels;2017-04-27;2017-05-15;51;0;3;2017-05-11;2017-05-11;\N;\N;\N;\N;2017-05-15;\N;offen;
2017-04-27;04/0135/17;ZF FRIEDRICHSHAFEN AG | D | SCHWEINFURT Shanghai;BKC-AS;11;11;Schnaubelt, Niels;2017-04-27;2017-05-15;51;0;3;2017-05-11;2017-05-11;\N;\N;\N;\N;2017-05-12;\N;offen;
2017-05-29;05/0181/17;ZF FRIEDRICHSHAFEN AG | D | SCHWEINFURT;BRA-AS;1;1;Pink, Alina;2017-05-29;2017-06-02;33;0;3;2017-05-29;2017-05-29;\N;\N;\N;\N;2017-06-07;\N;offen;
2017-05-31;05/0185/17;ZF FRIEDRICHSHAFEN AG | D | SCHWEINFURT Slovakia;BRA-AS;1;1;Pink, Alina;\N;2017-06-14;21;0;3;2017-06-07;2017-06-07;\N;\N;\N;\N;2017-06-07;\N;offen;
2017-06-16;06/0199/17;ZF FRIEDRICHSHAFEN AG | D | SCHWEINFURT;BRA-AS;2;2;Schnaubelt, Niels;2017-06-16;2017-06-26;9;1;3;2017-06-21;2017-06-21;\N;2017-06-28;\N;2017-06-28;2017-06-28;\N;offen;
2017-06-22;06/0211/17;LUK CLUTCH SYSTEMS, LLC. | USA | WOOSTER, OHIO 44691;BKM-AS;1;1;Hemmann, Patrick;2017-06-22;2017-06-30;5;1;3;\N;\N;\N;2017-06-22;\N;\N;\N;\N;offen;
2017-06-22;06/0212/17;LUK CLUTCH SYSTEMS, LLC. | USA | WOOSTER, OHIO 44691;BKM-AS;1;1;Hemmann, Patrick;2017-06-22;2017-06-30;5;1;3;\N;\N;2017-06-22;\N;\N;\N;\N;\N;offen;
2017-06-27;06/0217/17;LUK INDIA PRIVATE LIMITED | IN | HOSUR;BRA-AS;1;1;Hemmann, Patrick;2017-06-27;2017-07-01;4;0;3;\N;\N;\N;\N;\N;\N;\N;\N;offen;
2017-06-29;06/0219/17;SCHAEFFLER TECHNOLOGIES | D | HERZOGENAURACH;BRA-AS;1;1;Hemmann, Patrick;2017-06-29;2017-07-06;-1;0;3;2017-06-29;\N;\N;\N;\N;\N;\N;\N;offen;
2017-06-29;06/0220/17;SCHAEFFLER (BKC-AS) CO LTD. | CN | TAICANG;BKC-AS;1;1;Hemmann, Patrick;2017-06-29;2017-07-06;-1;0;3;\N;\N;\N;\N;\N;\N;\N;\N;offen;
2017-06-28;06/0218/17;LUK SAVARIA KFT. | HU | SZOMBATHELY;BRA-AS;1;1;Hemmann, Patrick;2017-06-28;2017-07-04;1;1;4;\N;\N;\N;\N;\N;\N;\N;\N;offen;
2017-05-04;05/0145/17;LUK SAVARIA KFT. | HU | SZOMBATHELY;BRA-AS;1;2;Hemmann, Patrick;2017-05-04;2017-05-11;55;1;5;\N;\N;\N;\N;\N;\N;\N;\N;offen;
2017-05-08;05/0146/17;LUK PUEBLA S. DE R.L. DE C.V. | MEX | C.P. PUEBLA, PUEBLA MEXICO;BKM-AS;1;1;Hemmann, Patrick;2017-05-04;2017-05-10;56;1;5;\N;\N;\N;\N;\N;\N;\N;\N;offen;
2017-05-08;05/0147/17;LUK PUEBLA S. DE R.L. DE C.V. | MEX | C.P. PUEBLA, PUEBLA MEXICO;BKM-AS;1;1;Hemmann, Patrick;2017-05-04;2017-05-10;56;1;5;\N;\N;\N;\N;\N;\N;\N;\N;offen;
2017-04-07;04/0104/17;VALEO TRANSMISSIONS MEXICO | MEX | SAN LUIS POTOSI;BKM-AS;2;2;Schulze-Dasbeck, Andrea;2017-04-07;2017-05-05;61;0;5;\N;\N;\N;\N;\N;\N;\N;\N;offen;
2017-04-07;04/0105/17;VALEO TRANSMISSIONS MEXICO | MEX | SAN LUIS POTOSI;BKM-AS;2;2;Schulze-Dasbeck, Andrea;2017-04-07;2017-05-05;61;0;5;\N;\N;\N;\N;\N;\N;\N;\N;offen;
2017-05-04;05/0143/17;VALEO EMBRAYAGES | F | AMIENS CEDEX 1;BRA-AS;3;3;Schulze-Dasbeck, Andrea;2017-05-04;2017-05-10;56;0;5;\N;\N;\N;\N;\N;\N;\N;\N;offen;
2017-05-23;05/0170/17;LUK GMBH & CO.KG | D | BUEHL;BRA-AS;1;1;Hemmann, Patrick;2017-05-23;2017-05-30;36;1;5;\N;\N;\N;\N;\N;\N;\N;\N;offen;
2017-05-23;05/0173/17;LUK GMBH & CO.KG | D | BUEHL;BRA-AS;1;1;Hemmann, Patrick;2017-05-23;2017-05-30;36;1;5;\N;\N;\N;\N;\N;\N;\N;\N;offen;
2017-05-23;05/0174/17;LUK GMBH & CO.KG | D | BUEHL;BRA-AS;1;1;Hemmann, Patrick;2017-05-23;2017-05-30;36;1;5;\N;\N;\N;\N;\N;\N;\N;\N;offen;
2017-05-29;05/0177/17;LUK GMBH & CO.KG | D | BUEHL;BRA-AS;1;1;Hemmann, Patrick;2017-03-24;2017-05-30;36;1;5;\N;\N;\N;\N;\N;\N;\N;\N;offen;
2017-05-29;05/0178/17;LUK GMBH & CO.KG | D | BUEHL;BRA-AS;1;1;Hemmann, Patrick;2017-03-24;2017-05-30;36;1;5;\N;\N;\N;\N;\N;\N;\N;\N;offen;
2017-06-26;06/0215/17;ZF FRIEDRICHSHAFEN AG | D | SCHWEINFURT Slovakia;BRA-AS;7;7;Pink, Alina;2017-06-13;2017-07-16;-11;1;5;\N;\N;\N;\N;\N;\N;\N;\N;offen;
2017-06-26;06/0216/17;LUK SAVARIA KFT. | HU | SZOMBATHELY;BRA-AS;1;1;Hemmann, Patrick;2017-06-23;2017-07-12;-7;0;5;\N;\N;\N;\N;\N;\N;\N;\N;offen;
